Date,Symbol,Open,High,Low,Last,Close
01-01-2020,COALINDIA,211.35,212.6,208.4,211.95,211.95
02-01-2020,COALINDIA,212.5,212.8,208.3,210.95,211.1
03-01-2020,COALINDIA,210,212.6,207.7,210.65,211.85
06-01-2020,COALINDIA,209.95,209.95,203.45,205.15,205.7
07-01-2020,COALINDIA,206.5,208.2,204.35,205.75,205.7
08-01-2020,COALINDIA,203,204.55,198.2,200.5,200.2
09-01-2020,COALINDIA,203.25,203.7,197.35,197.95,198
10-01-2020,COALINDIA,199.15,206.55,198.95,204.5,205.3
13-01-2020,COALINDIA,205.3,212,205,211.6,211.55
14-01-2020,COALINDIA,211.15,213.5,209.75,213,212.95
15-01-2020,COALINDIA,212.6,214.6,211.3,212.4,212.45
16-01-2020,COALINDIA,212.45,212.7,207.1,210.2,210.25
17-01-2020,COALINDIA,210,210.55,206.1,208.1,207.9
20-01-2020,COALINDIA,208,209.8,200.5,202.2,201.15
21-01-2020,COALINDIA,201.15,205.25,201.15,202.35,202.15
22-01-2020,COALINDIA,199.1,199.4,190.95,191.55,191.9
23-01-2020,COALINDIA,192.05,195.2,189.85,191.4,190.75
24-01-2020,COALINDIA,193,196.3,192.15,194.4,193.95
27-01-2020,COALINDIA,193.95,195,192,193,193.35
28-01-2020,COALINDIA,193.9,194.25,188.4,189.5,189.15
29-01-2020,COALINDIA,191,193,188,191.1,191.05
30-01-2020,COALINDIA,191.4,192.35,187.5,188.2,187.95
31-01-2020,COALINDIA,188.8,189.45,180,183.55,181.7
01-02-2020,COALINDIA,182,182,171.05,174.3,173.5
03-02-2020,COALINDIA,174.9,179.45,172.15,178.9,178.65
04-02-2020,COALINDIA,180.75,183,179.75,182.7,182.5
05-02-2020,COALINDIA,184,184,178.5,179.8,179.25
06-02-2020,COALINDIA,180.2,181.6,178.25,179.7,179.95
07-02-2020,COALINDIA,180.3,186.05,178.1,184.95,185.05
10-02-2020,COALINDIA,184.9,185,177.65,178.85,178.85
11-02-2020,COALINDIA,180,181.5,176.25,179.4,179.35
12-02-2020,COALINDIA,181,183.4,178.2,180.3,180.3
13-02-2020,COALINDIA,180.3,180.95,175.85,178,177.8
14-02-2020,COALINDIA,178,178.9,174.2,174.5,174.75
17-02-2020,COALINDIA,174.75,175.2,166.8,168.1,167.85
18-02-2020,COALINDIA,168.1,173.95,165,172.75,171.85
19-02-2020,COALINDIA,176.35,178.55,174.25,177.8,177.75
20-02-2020,COALINDIA,177.75,180.25,175.2,179.1,179.35
24-02-2020,COALINDIA,178.75,178.9,173.3,174.15,174.85
25-02-2020,COALINDIA,176.1,178.7,174.2,175.6,175.1
26-02-2020,COALINDIA,174.2,177.75,172.65,173.7,173.8
27-02-2020,COALINDIA,173.75,174.55,169.6,173.9,174.1
28-02-2020,COALINDIA,171.55,171.8,166.75,167.75,168.4
02-03-2020,COALINDIA,172.65,175,168.3,169.4,169.35
03-03-2020,COALINDIA,171.35,179.65,170.9,177.5,178.2
04-03-2020,COALINDIA,178.25,179.8,174.1,177.95,178.1
05-03-2020,COALINDIA,180,180.2,172.2,176.65,177.15
06-03-2020,COALINDIA,166.7,173,166.5,169,168.75
09-03-2020,COALINDIA,165.8,166.7,156.95,157.65,157.95
11-03-2020,COALINDIA,158.1,169.9,157.05,166.7,168
12-03-2020,COALINDIA,161,163,150.1,156.75,154.55
13-03-2020,COALINDIA,146.25,161.55,123.65,155.35,154.1
16-03-2020,COALINDIA,150.95,151.35,143.1,144.55,143.9
17-03-2020,COALINDIA,145.2,155.4,142.3,147.25,145.9
18-03-2020,COALINDIA,151.6,151.85,143,144.5,145.05
19-03-2020,COALINDIA,128,133.5,122,122.55,123.55
20-03-2020,COALINDIA,124.5,135.8,122.65,132.4,132.8
23-03-2020,COALINDIA,122.5,134.85,120.05,127.55,127.85
24-03-2020,COALINDIA,129.25,135,125.45,129,127.85
25-03-2020,COALINDIA,126,129.25,123.7,124.25,124.5
26-03-2020,COALINDIA,126,127,119.2,123.9,123.25
27-03-2020,COALINDIA,125.9,132.95,125,131.15,131.7
30-03-2020,COALINDIA,127.55,134.75,127.2,133.15,133.15
31-03-2020,COALINDIA,135.1,142.35,134.25,139.8,140.05
01-04-2020,COALINDIA,138.75,141.25,137.05,139.7,139.45
03-04-2020,COALINDIA,138.6,139.9,131.8,137.75,137.75
07-04-2020,COALINDIA,140.3,142.4,137.15,139.65,140.15
08-04-2020,COALINDIA,140,143.4,137,137.55,137.35
09-04-2020,COALINDIA,139.2,141.45,138,140.7,140.8
13-04-2020,COALINDIA,140.8,146.7,138.35,145.8,145.9
15-04-2020,COALINDIA,147.4,151.6,146,146.5,146.85
16-04-2020,COALINDIA,144.6,150.5,144.4,147.35,147.4
17-04-2020,COALINDIA,151.5,152.45,148.3,148.75,148.75
20-04-2020,COALINDIA,149.9,149.9,143,144.2,144.2
21-04-2020,COALINDIA,141,141.6,137.8,140.3,139
22-04-2020,COALINDIA,138.2,141.3,135,141,140.7
23-04-2020,COALINDIA,140.8,144.75,140.1,140.9,140.9
24-04-2020,COALINDIA,140.6,143.8,135.8,137.25,137
27-04-2020,COALINDIA,139,139.7,137.5,138.2,138.1
28-04-2020,COALINDIA,138.6,139.55,134.45,135.35,135.4
29-04-2020,COALINDIA,135.5,140.85,135.35,140,139.85
30-04-2020,COALINDIA,141.5,149.45,141.35,148.8,148.5
04-05-2020,COALINDIA,144.7,144.7,140.35,142.15,142.3
05-05-2020,COALINDIA,143.9,147.25,137.35,138.5,138
06-05-2020,COALINDIA,139.35,139.35,133.15,134,133.75
07-05-2020,COALINDIA,130,133,130,131,130.8
08-05-2020,COALINDIA,132.85,133.2,128.55,129,129
11-05-2020,COALINDIA,130.15,131.05,128.05,128.25,128.45
12-05-2020,COALINDIA,128.2,129.05,125.3,127,126.85
13-05-2020,COALINDIA,132.5,132.5,128.5,131,130.6
14-05-2020,COALINDIA,129.85,131.45,128.05,128.95,128.65
15-05-2020,COALINDIA,129.7,130.85,127.75,129.4,129.6
18-05-2020,COALINDIA,127,127,121.05,121.8,121.7
19-05-2020,COALINDIA,123.1,124.15,121.8,123.65,123.6
20-05-2020,COALINDIA,123,125.15,121.85,123.4,123.25
21-05-2020,COALINDIA,123.9,126.25,122.8,124.8,124.5
22-05-2020,COALINDIA,124,126.05,121.9,125.5,125.2
26-05-2020,COALINDIA,125.85,128,125,127.3,127.25
27-05-2020,COALINDIA,127.25,131.35,126,130.5,130.8
28-05-2020,COALINDIA,130.85,134.3,129.3,133.6,133.9
29-05-2020,COALINDIA,133.5,142.45,132.25,140.65,141.3
01-06-2020,COALINDIA,142.1,149.75,141.55,147.65,148.55
02-06-2020,COALINDIA,149.15,149.15,143,143.65,143.4
03-06-2020,COALINDIA,145,145.1,141.1,141.3,141.7
04-06-2020,COALINDIA,141,142.6,139.35,140.6,140.25
05-06-2020,COALINDIA,141,145.75,140.5,145.4,144.85
08-06-2020,COALINDIA,148,148.95,144.75,146.85,146.7
09-06-2020,COALINDIA,147.95,147.95,143.65,144.2,144.3
10-06-2020,COALINDIA,144,144.75,140.2,140.85,140.7
11-06-2020,COALINDIA,140.85,142.9,137.5,137.9,137.7
12-06-2020,COALINDIA,133.1,135.55,132.7,134.7,134.65
15-06-2020,COALINDIA,134.7,135,130.5,132.35,132.1
16-06-2020,COALINDIA,134.5,135,129.55,131.35,131.15
17-06-2020,COALINDIA,131.15,133.9,129.1,129.45,129.45
18-06-2020,COALINDIA,129,139.7,128.15,137.65,137.6
19-06-2020,COALINDIA,140,140,135.2,137,137.25
22-06-2020,COALINDIA,137.25,143.95,137.1,143.7,143.65
23-06-2020,COALINDIA,144.95,146.75,143.2,144.1,143.85
24-06-2020,COALINDIA,145.7,146.45,140.75,141.85,141.55
25-06-2020,COALINDIA,140.35,143.65,138.35,139.2,140.4
26-06-2020,COALINDIA,140.9,143,139.6,142.1,142.1
29-06-2020,COALINDIA,140.55,140.85,134.15,135.05,134.85
30-06-2020,COALINDIA,136.35,137.15,132.35,133.15,132.85
01-07-2020,COALINDIA,132.85,134.65,131.4,134.05,133.85
02-07-2020,COALINDIA,134.05,135,132.8,133.75,133.6
03-07-2020,COALINDIA,134.4,135.9,133.05,135,135.25
06-07-2020,COALINDIA,136.3,137.5,135.25,135.85,135.85
07-07-2020,COALINDIA,136.5,136.7,132.6,133,132.85
08-07-2020,COALINDIA,132.95,134.45,131.6,132.85,132.85
09-07-2020,COALINDIA,133.5,135.3,129.1,130.8,130.4
10-07-2020,COALINDIA,129.5,132.25,128.2,131.25,131.2
13-07-2020,COALINDIA,131.8,132.45,130.3,130.65,130.5
14-07-2020,COALINDIA,130.4,130.4,128,128.25,128.25
15-07-2020,COALINDIA,128.85,129.45,127.55,128.2,128
16-07-2020,COALINDIA,127.75,128,124.6,126.05,126.15
17-07-2020,COALINDIA,126.6,132.05,126.6,130.95,130.6
20-07-2020,COALINDIA,133.5,134.6,131.7,133.1,133
21-07-2020,COALINDIA,133.5,134.5,132,133.15,133.1
22-07-2020,COALINDIA,133.7,136.7,132.75,134.25,134.1
23-07-2020,COALINDIA,134.9,135.55,133.2,133.5,133.45
24-07-2020,COALINDIA,132.9,132.9,130,131.5,131.6
27-07-2020,COALINDIA,131.6,131.8,129.35,130,129.95
28-07-2020,COALINDIA,130.1,130.75,128.55,130.35,130.45
29-07-2020,COALINDIA,130,132.5,129.7,131.25,131.2
30-07-2020,COALINDIA,131.3,131.7,128.3,128.75,128.6
31-07-2020,COALINDIA,128.95,130,127.55,129.55,129.25
03-08-2020,COALINDIA,129.9,129.9,128.1,128.7,128.4
04-08-2020,COALINDIA,129.6,131.7,128.5,128.8,128.75
05-08-2020,COALINDIA,129.15,130.1,128.2,128.7,128.45
06-08-2020,COALINDIA,129,131.2,128.3,128.9,128.85
07-08-2020,COALINDIA,129.5,130.35,128.55,129.7,129.75
